Respondent_ID,Gender,Age,Education,Farm_Size_ha,Farming_Experience,Major_Crop,Production_Output_tons,Annual_Income_NGN
1,Female,62,Secondary,0.83,25,Cassava,3.69,429517
2,Female,65,Primary,2.72,19,Vegetables,4.49,520752
3,Female,27,Tertiary,1.16,18,Maize,5.04,620513
4,Female,48,Secondary,1.16,20,Maize,5.84,691263
5,Female,49,Primary,1.52,6,Yam,3.21,390098
6,Female,28,Tertiary,1.58,13,Yam,6.03,733708
7,Female,56,Primary,0.87,14,Vegetables,3.97,480100
8,Female,58,Primary,1.08,4,Cassava,5.89,692029
9,Female,36,Secondary,3.1,14,Rice,5.34,644709
10,Female,32,Tertiary,1.61,8,Yam,5.61,657879
11,Female,60,Tertiary,2.4,19,Cassava,3.45,418867
12,Female,39,Tertiary,3.47,22,Vegetables,3.68,442852
13,Female,25,Secondary,1.19,3,Rice,3.87,458226
14,Female,58,Primary,3.13,12,Rice,4.38,535671
15,Female,31,Tertiary,1.29,9,Vegetables,4.96,613511
16,Female,49,Secondary,3.19,14,Cassava,6.79,803865
17,Female,54,Primary,1.98,26,Maize,3.41,399684
18,Female,65,Secondary,1.77,4,Rice,5.18,632274
19,Female,55,Primary,1.25,19,Maize,5.53,678790
20,Female,39,Primary,2.81,12,Yam,4.54,554535
21,Female,22,Tertiary,3.36,30,Yam,6.69,794508
22,Female,54,Tertiary,3.24,29,Yam,6.17,753670
23,Female,60,Primary,1.1,13,Vegetables,6.61,807957
24,Female,22,Primary,2.3,17,Maize,6.52,782553
25,Female,37,Tertiary,0.67,30,Maize,3.14,388649
26,Female,26,Primary,3.43,19,Cassava,5.44,668831
27,Female,32,Tertiary,1.3,29,Rice,6.66,814543
28,Female,34,Tertiary,2.64,14,Yam,4.55,559919
29,Female,50,Primary,0.86,9,Yam,2.88,361901
30,Female,36,Primary,2.27,2,Maize,3.72,428458
31,Female,43,Secondary,0.71,9,Rice,3.66,427871
32,Female,58,Secondary,2.23,9,Rice,3.56,413552
33,Female,64,Secondary,1.79,15,Rice,6.26,734750
34,Female,65,Primary,2.46,22,Maize,4.41,531436
35,Female,28,Tertiary,1.25,8,Rice,3.36,395225
36,Female,39,Primary,1.89,29,Rice,6.03,739666
37,Female,28,Primary,0.65,19,Maize,6.51,776691
38,Female,32,Primary,1.72,17,Rice,6.41,759989
39,Female,46,Secondary,0.51,14,Rice,3.94,489222
40,Female,64,Primary,2.66,6,Yam,3.67,424232
41,Female,59,Tertiary,2.71,3,Yam,3.03,381884
42,Female,52,Tertiary,2.01,29,Cassava,3.03,376881
43,Female,27,Tertiary,3.05,4,Maize,5.5,655414
44,Female,47,Tertiary,0.86,30,Cassava,5.12,597004
45,Female,61,Tertiary,0.75,23,Vegetables,4.89,583889
46,Female,35,Primary,2.51,12,Yam,4.38,525260
47,Female,51,Primary,1.45,26,Maize,4.63,572496
48,Female,28,Tertiary,0.72,8,Yam,3.33,402472
49,Female,26,Secondary,3.14,13,Cassava,4.55,561600
50,Female,41,Tertiary,2.34,27,Vegetables,2.83,355946
51,Female,41,Primary,3.3,5,Yam,3.26,378214
52,Female,57,Tertiary,0.97,11,Cassava,5.67,673742
53,Female,65,Tertiary,2.4,10,Rice,3.8,439329
54,Female,27,Secondary,2.4,28,Maize,2.81,325773
55,Female,62,Tertiary,3.44,7,Rice,5.01,609228
56,Female,57,Tertiary,0.53,4,Cassava,4.98,601796
57,Female,59,Primary,2.16,15,Maize,4.03,466214
58,Female,44,Tertiary,1.13,9,Maize,4.21,521892
59,Female,48,Primary,3.42,25,Cassava,6.26,742803
60,Female,48,Secondary,0.57,25,Rice,6.01,717463
61,Male,39,Primary,0.98,24,Rice,5.49,669647
62,Male,36,Secondary,1.1,16,Yam,5.28,628515
63,Male,36,Secondary,0.57,8,Yam,3.11,357749
64,Male,39,Secondary,1.55,18,Vegetables,3.32,380208
65,Male,29,Primary,3.13,10,Vegetables,5.85,699397
66,Male,24,Secondary,0.83,15,Yam,3.75,463516
67,Male,29,Primary,1.66,20,Yam,2.18,270177
68,Male,22,Tertiary,2.06,27,Cassava,3.46,399785
